city,X,Y,Geocode_Street,OccurredFrom_Time,OccurredFrom_Timestamp,Statute_Text,Weapon_Description
Rochester,-77.54275791354341,43.1502927318602,15 GASLIGHT LANE,2200,2020/08/13 22:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5744741364056,43.168441202393,377 WEBSTER,800,2020/10/01 08:00:00+00,Larceny,* No Weapon Specified *
Rochester,,,127 HEWLITT ST,2200,2020/08/07 22:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.60966831463179,43.158191188222105,65 ST PAUL ST,1700,2020/10/01 17:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5898813747774,43.1777770762184,641 PORTLAND AVE,1829,2020/05/28 18:29:00+00,Aggravated Assault,Other Weapon
Rochester,-77.6512466942,43.1971782020438,24 RAMONA PARK,2040,2020/08/09 20:40:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6243579257203,43.1236079462745,601 ELMWOOD AVE,1030,2020/08/13 10:30:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6120113282036,43.149289964345705,301 EXCHANGE BLVD,1139,2019/01/01 11:39:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6307427574698,43.18479201528871,1050 LAKE AVE,1501,2020/07/31 15:01:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5957582417902,43.1836911862318,1319 NORTH ST,1714,2020/09/22 17:14:00+00,Aggravated Assault,Knife/Cutting Instrument
Rochester,,,31 GREENNOLLS DR,1930,2020/08/08 19:30:00+00,Larceny,* No Weapon Specified *
Rochester,-77.61329047210691,43.1274115645615,86 STEWART ST,1200,2020/08/08 12:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6060579675285,43.125984582355,172 AZALEA ROAD,530,2020/08/08 05:30:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6326228320397,43.12942892532121,537 FRATERNITY ROAD,900,2020/08/04 09:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6069700331515,43.1425138794555,107 GREGORY PARK,2000,2020/08/08 20:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.63471035123371,43.183974503760204,50 RAINES PARK,400,2020/08/07 04:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.5625109069892,43.153765649414794,205 HUMBOLT ST,700,2020/06/16 07:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5660551831641,43.1476119907675,1441 EAST AVE,1135,2020/08/09 11:35:00+00,Burglary,* No Weapon Specified *
Rochester,-77.6257778872157,43.1916144724755,125 GORSLINE ST,2015,2020/07/21 20:15:00+00,Burglary,* No Weapon Specified *
Rochester,-77.65219316044359,43.153886689809,57 POTOMAC DR,0,2020/08/10 00:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.620142261425,43.1195872036125,4 IRVINGTON ROAD,2158,2020/08/10 21:58:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6258538502151,43.1928784518361,48 FLOWER CITY PARK,1500,2020/08/02 15:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.5736150323179,43.173783076152404,140 CUMMINGS ST,1430,2020/08/05 14:30:00+00,Aggravated Assault,Semiautomatic Handgun
Rochester,-77.5445736171606,43.16608564757111,1067 N WINTON ROAD,431,2020/08/07 04:31:00+00,Larceny,* No Weapon Specified *
Rochester,-77.57759411764259,43.1367296434619,1279 MONROE AVE,900,2020/07/31 09:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.6317600299805,43.1460292146364,182 CADY ST,1427,2020/05/20 14:27:00+00,Aggravated Assault,Blunt Object
Rochester,-77.5995367261207,43.1929254173015,1450 HUDSON AVE,100,2020/07/30 01:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.59456680530809,43.162928374061096,116 WOODWARD ST,1005,2020/08/07 10:05:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6364882471666,43.20195769032579,301 EASTMAN AVE,1304,2020/06/01 13:04:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5468774139315,43.1656069761203,303 FARMINTON ROAD,0,2020/08/07 00:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.612741644702,43.129027791120606,32 WALL ST,1700,2020/06/13 17:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6253210869824,43.2408745668468,45 REDFIELD ST,0,2020/08/10 00:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.63351615612841,43.1907734318506,380 RAINES PKWY,1100,2020/07/29 11:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.546100917609,43.15855185364801,113 MERCHANTS ROAD,2230,2020/08/03 22:30:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6141648240582,43.1496078837535,263 S PLYMOUTH AVE,0,2020/06/22 00:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.60887723758799,43.1395309824963,183 CYPRESS ST,2100,2020/06/13 21:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.62299591669449,43.144537179199894,100 SEWARD ST,716,2020/07/25 07:16:00+00,Larceny,* No Weapon Specified *
Rochester,-77.63473002768579,43.169156113586205,251 PARKWAY AVE,1400,2020/07/21 14:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.63735032814671,43.17776556272321,11 BROOKLYN ST,1227,2020/06/15 12:27:00+00,Larceny,* No Weapon Specified *
Rochester,-77.64015762789009,43.21514399549851,49 BENNINGTON DR,900,2020/05/15 09:00:00+00,Aggravated Assault,Not Reported
Rochester,-77.60174147891999,43.167496503105,216 HUDSON AVE,2150,2020/07/26 21:50:00+00,Aggravated Assault,Firearm
Rochester,-77.6015917602971,43.1482352309489,427 BROADWAY ST,1400,2020/06/14 14:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.60995624941441,43.1708511679149,81 WILLIAM WARFIELD DR,1300,2020/06/10 13:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6635802280276,43.1589515965937,260 GARLAND AVE,1500,2020/05/29 15:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6243579257203,43.1236079462745,601 ELMWOOD AVE,509,2020/08/03 05:09:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6349118887568,43.2058021387642,224 WINCHESTER ST,1300,2020/06/18 13:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.61503869607371,43.144945809476994,668 CLARISSA ST,47,2020/07/31 00:47:00+00,Aggravated Assault,Knife/Cutting Instrument
Rochester,-77.6510688141607,43.13548445869821,477 THURSTON ROAD,800,2020/07/01 08:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.59793194955841,43.144890767383394,273 PEARL ST,1322,2020/06/08 13:22:00+00,Aggravated Assault,Knife/Cutting Instrument
Rochester,-77.64874373045609,43.151240187826005,400 WEST AVE,1700,2020/07/29 17:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6154249148693,43.1134169235565,390 E HENRIETTA ROAD,100,2020/07/24 01:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.5813217633672,43.1491746319994,115 BARRINGTON ST,1345,2020/06/06 13:45:00+00,Larceny,* No Weapon Specified *
Rochester,-77.584526303699,43.1628362136215,14 RAILROAD ST,1200,2020/02/01 12:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.598786089893,43.185391630868395,22 KOSCIUSKO ST,1117,2020/07/28 11:17:00+00,Robbery,Other Weapon
Rochester,-77.54991831618409,43.16184145578651,110 ROYLESTON ROAD,700,2020/06/11 07:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.62486568603941,43.1794385957818,1286 ST PAUL ST,2112,2020/06/11 21:12:00+00,Larceny,* No Weapon Specified *
Rochester,-77.57956974822041,43.17094859571979,533 BAY ST,1730,2020/06/12 17:30:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.5606534145326,43.1501952606377,20 CARLSON ROAD,1800,2020/07/17 18:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.62306320764058,43.1846368815902,41 BEACH ST,1100,2020/07/17 11:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.6486435743227,43.13199377614679,1 SHELDON TER,2300,2020/06/07 23:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.6095653106273,43.1446675320813,25 HAMILTON ST,1730,2020/06/06 17:30:00+00,Burglary,* No Weapon Specified *
Rochester,-77.5580048624183,43.15262520101089,164 HAMPDEN ROAD,2100,2020/06/06 21:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5946651530737,43.177978352530296,37 ST JACOBS ST,2024,2020/05/29 20:24:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6419404025907,43.196391041191305,452 PULLMAN ST,1000,2020/06/05 10:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6347008127505,43.2055283146873,199 WINCHESTER ST,219,2020/05/30 02:19:00+00,Aggravated Assault,Knife/Cutting Instrument
Rochester,-77.6182483765623,43.1796248677254,240 AVENUE C,1858,2020/06/06 18:58:00+00,Aggravated Assault,Knife/Cutting Instrument
Rochester,-77.5601510974605,43.1707569642257,1386 CULVER ROAD,540,2020/05/18 05:40:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.62667652882729,43.165027169663894,709 N PLYMOUTH AVE,15,2020/08/14 00:15:00+00,Aggravated Assault,Firearm
Rochester,-77.5592593908147,43.172197279799605,1462 CULVER ROAD,1800,2020/07/15 18:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.638756764051,43.180653849200404,25 BROEZEL ST,2100,2020/06/04 21:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.5626822209924,43.18077963828979,139 FERNWOOD PARK,2100,2020/08/01 21:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6418055089417,43.1549285707074,64 EVA PL,1630,2020/07/30 16:30:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6582799036697,43.16988278253329,249 BERGEN ST,300,2020/06/05 03:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6010858578484,43.1688708969997,20 WILSON ST,1700,2020/07/25 17:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5750578860921,43.1524078649486,1043 UNIVERSITY AVE,1300,2020/06/03 13:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.60294028868041,43.1369782572958,33 CRAWFORD ST,30,2020/06/03 00:30:00+00,Burglary,* No Weapon Specified *
Rochester,-77.60546988581879,43.1580719597849,25 FRANKLIN ST,400,2020/06/08 04:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6028542581601,43.1900911615796,292 ST CASMIR DR,2000,2020/06/06 20:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.65730578731491,43.151941573076,266 BUFFALO ROAD,509,2020/06/02 05:09:00+00,Robbery,Firearm
Rochester,-77.56371758253509,43.1824908648081,170 WARING ROAD,2030,2020/04/29 20:30:00+00,Robbery,Personal Weapons
Rochester,-77.5977519029841,43.154020610386,43 S UNION ST,1600,2020/05/22 16:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.59562823387891,43.1389539205421,985 S CLINTON AVE,1150,2020/07/20 11:50:00+00,Aggravated Assault,Knife/Cutting Instrument
Rochester,-77.6480166636223,43.190210092162296,636 MAGEE AVE,2300,2020/07/28 23:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5980087833515,43.15359362722079,53 S UNION ST,1900,2020/05/27 19:00:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.6505940033081,43.131592264214106,670 THURSTON AVE,1300,2020/05/29 13:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5652997799091,43.1503499248813,1350 UNIVERSITY AVE,1400,2020/07/28 14:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.63710613631459,43.199943927531,380 W RIDGE ROAD,129,2020/05/24 01:29:00+00,Aggravated Assault,Blunt Object
Rochester,-77.597496936659,43.1846459275925,66 SOBIESKI ST,300,2020/05/26 03:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.58039354622,43.17810339680899,341 FERNWOOD AVE,1640,2020/05/27 16:40:00+00,Larceny,* No Weapon Specified *
Rochester,-77.60125636296921,43.1566180637603,111 EAST AVE,1800,2020/05/18 18:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.57946801720541,43.1400842472244,60 BELMONT ST,2130,2020/05/19 21:30:00+00,Burglary,* No Weapon Specified *
Rochester,-77.61351047632441,43.181504805523396,1210 N CLINTON AVE,1530,2020/07/25 15:30:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6500134010706,43.1713315871064,320 AVERY ST,2300,2020/07/26 23:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6358659851725,43.185123459257206,167 BIRR ST,1200,2020/05/09 12:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.6077963856703,43.1581773149705,72 MORTIMER ST,1400,2020/05/21 14:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6309951544592,43.195878873985606,135 E RIDGE ROAD,1830,2020/05/15 18:30:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.60319696954221,43.1865282461381,747 NORTON ST,1128,2020/07/13 11:28:00+00,Larceny,* No Weapon Specified *
Rochester,-77.60697629146479,43.1682281897527,102 CHATHAM GARDENS,600,2020/07/27 06:00:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.6364882471666,43.20195769032579,301 EASTMAN AVE,1300,2020/05/27 13:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.61222266876929,43.1221940523934,1111 ELMWOOD AVE,1200,2020/05/22 12:00:00+00,Larceny,* No Weapon Specified *
